Pathway	Group
GO_EPITHELIAL_CELL_MORPHOGENESIS	Development_Genesis
GO_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM	Development_Genesis
GO_MORPHOGENESIS_OF_EMBRYONIC_EPITHELIUM	Development_Genesis
GO_MORPHOGENESIS_OF_AN_EPITHELIUM	Development_Genesis
GO_OOGENESIS	Development_Genesis
GO_MAMMALIAN_OOGENESIS_STAGE	Development_Genesis
GO_PLATELET_MORPHOGENESIS	Development_Genesis
HALLMARK_ANGIOGENESIS	Development_Genesis
HALLMARK_MYOGENESIS	Development_Genesis
GALIE_TUMOR_STEMNESS_GENES	Development_StemCells
GO_STEM_CELL_DIFFERENTIATION	Development_StemCells
GO_STEM_CELL_DIVISION	Development_StemCells
GO_STEM_CELL_FATE_COMMITMENT	Development_StemCells
GO_STEM_CELL_PROLIFERATION	Development_StemCells
Stem_Cell_Signature	Development_StemCells
Ovarian_CSC_Signature	Development_StemCells
REACTOME_POU5F1_OCT4_SOX2_NANOG_ACTIVATE_GENES_RELATED_TO_PROLIFERATION	Development_StemCells
REACTOME_POU5F1_OCT4_SOX2_NANOG_REPRESS_GENES_RELATED_TO_DIFFERENTIATION	Development_StemCells
GO_EPITHELIAL_CELL_DEVELOPMENT	Development_Epithelial
GO_EPITHELIAL_CELL_CELL_ADHESION	Development_Epithelial
GO_EPITHELIAL_CELL_DIFFERENTIATION	Development_Epithelial
GO_EPITHELIAL_CELL_FATE_COMMITMENT	Development_Epithelial
GO_EPITHELIAL_CELL_MATURATION	Development_Epithelial
GO_EPITHELIAL_CELL_MORPHOGENESIS	Development_Epithelial
GO_EPITHELIAL_CELL_PROLIFERATION	Development_Epithelial
GO_EPITHELIAL_FLUID_TRANSPORT	Development_Epithelial
GO_EPITHELIAL_MESENCHYMAL_CELL_SIGNALING	Development_Epithelial
GO_MESENCHYMAL_EPITHELIAL_CELL_SIGNALING	Development_Epithelial
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Development_Epithelial
GO_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	Development_Epithelial
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_	Development_Epithelial
GO_MESENCHYMAL_TO_EPITHELIAL_TRANSITION	Development_Epithelial
GO_ESTABLISHMENT_OF_EPITHELIAL_CELL_APICAL_BASAL_POLARITY	Development_Epithelial
GO_ESTABLISHMENT_OF_EPITHELIAL_CELL_POLARITY	Development_Epithelial
GO_REGULATION_OF_EPITHELIAL_CELL_APOPTOTIC_PROCESS	Development_Epithelial
GO_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	Development_Epithelial
GO_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	Development_Epithelial
GO_TRANSEPITHELIAL_TRANSPORT	Development_Epithelial
GO_ADIPONECTIN_ACTIVATED_SIGNALING_PATHWAY	Development_Adipocytes
GO_ADIPOSE_TISSUE_DEVELOPMENT	Development_Adipocytes
GO_REGULATION_OF_ADIPOSE_TISSUE_DEVELOPMENT	Development_Adipocytes
HP_ABNORMAL_ADIPOSE_TISSUE_MORPHOLOGY	Development_Adipocytes
HALLMARK_ADIPOGENESIS	Development_Adipocytes
IZADPANAH_STEM_CELL_ADIPOSE_VS_BONE_UP	Development_Adipocytes
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	Development_Adipocytes
URS_ADIPOCYTE_DIFFERENTIATION_UP	Development_Adipocytes
WANG_CLASSIC_ADIPOGENIC_TARGETS_OF_PPARG	Development_Adipocytes
WANG_ADIPOGENIC_GENES_REPRESSED_BY_SIRT1	Development_Adipocytes
WP_LEPTIN_AND_ADIPONECTIN	Development_Adipocytes
BIOCARTA_STRESS_PATHWAY	Cell_Response_I
CHUANG_OXIDATIVE_STRESS_RESPONSE_UP	Cell_Response_I
GO_CELL_DEATH_IN_RESPONSE_TO_OXIDATIVE_STRESS	Cell_Response_I
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	Cell_Response_I
GO_NEGATIVE_REGULATION_OF_TRANSLATION_IN_RESPONSE_TO_STRESS	Cell_Response_I
GO_RESPONSE_TO_OXIDATIVE_STRESS	Cell_Response_I
GO_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_HYPOXIA	Cell_Response_I
HALLMARK_HYPOXIA	Cell_Response_I
PID_HIF1A_PATHWAY	Cell_Response_I
JIANG_HYPOXIA_CANCER	Cell_Response_I
GO_DRUG_TRANSPORT	Cell_Response_I
HALLMARK_XENOBIOTIC_METABOLISM	Cell_Response_I
HALLMARK_ANDROGEN_RESPONSE	Cell_Response_I
HALLMARK_DNA_REPAIR	Cell_Response_I
KEGG_MISMATCH_REPAIR	Cell_Response_I
KEGG_HOMOLOGOUS_RECOMBINATION	Cell_Response_I
KEGG_NON_HOMOLOGOUS_END_JOINING	Cell_Response_I
GO_BASE_EXCISION_REPAIR	Cell_Response_I
REACTOME_TELOMERE_EXTENSION_BY_TELOMERASE	Cell_Response_I
REACTOME_TELOMERE_MAINTENANCE	Cell_Response_I
REACTOME_EXTENSION_OF_TELOMERES	Cell_Response_I
GO_TELOMERE_CAPPING	Cell_Response_I
GO_TELOMERE_MAINTENANCE_IN_RESPONSE_TO_DNA_DAMAGE	Cell_Response_II
CHEMORESPONSE_SIGNATURE	Cell_Response_II
HALLMARK_ANDROGEN_RESPONSE	Cell_Response_II
HALLMARK_APOPTOSIS	Cell_Response_II
HALLMARK_ESTROGEN_RESPONSE_EARLY	Cell_Response_II
HALLMARK_ESTROGEN_RESPONSE_LATE	Cell_Response_II
HALLMARK_COMPLEMENT	Cell_Response_II
HALLMARK_INFLAMMATORY_RESPONSE	Cell_Response_II
HALLMARK_INTERFERON_ALPHA_RESPONSE	Cell_Response_II
HALLMARK_INTERFERON_GAMMA_RESPONSE	Cell_Response_II
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Cell_Response_II
HALLMARK_UV_RESPONSE_DN	Cell_Response_II
HALLMARK_UV_RESPONSE_UP	Cell_Response_II
BIOCARTA_HSP27_PATHWAY	Cell_Response_II
GO_HSP70_PROTEIN_BINDING	Cell_Response_II
GO_HSP90_PROTEIN_BINDING	Cell_Response_II
GO_CELLULAR_RESPONSE_TO_GROWTH_HORMONE_STIMULUS	Cell_Response_II
GO_CELLULAR_RESPONSE_TO_INSULIN_LIKE_GROWTH_FACTOR_STIMULUS	Cell_Response_II
GO_CELLULAR_RESPONSE_TO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_STIMULUS	Cell_Response_II
GO_GROWTH_HORMONE_SECRETION	Cell_Response_II
GO_RESPONSE_TO_GROWTH_FACTOR	Cell_Response_II
GO_RESPONSE_TO_GROWTH_HORMONE	Cell_Response_II
KEGG_ECM_RECEPTOR_INTERACTION	Tissue_Adaptation
BIOCARTA_ECM_PATHWAY	Tissue_Adaptation
NABA_ECM_REGULATORS	Tissue_Adaptation
GO_CELL_MATRIX_ADHESION	Tissue_Adaptation
GO_COLLAGEN_BINDING_INVOLVED_IN_CELL_MATRIX_ADHESION	Tissue_Adaptation
GO_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	Tissue_Adaptation
GO_EXTRACELLULAR_MATRIX	Tissue_Adaptation
GO_EXTRACELLULAR_MATRIX_BINDING	Tissue_Adaptation
GO_EXTRACELLULAR_MATRIX_CELL_SIGNALING	Tissue_Adaptation
GO_EXTRACELLULAR_MATRIX_DISASSEMBLY	Tissue_Adaptation
GO_REGULATION_OF_MATRIX_METALLOPEPTIDASE_SECRETION	Tissue_Adaptation
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	Tissue_Adaptation
REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS	Tissue_Adaptation
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	Tissue_Adaptation
REACTOME_FIBRONECTIN_MATRIX_FORMATION	Tissue_Adaptation
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	Tissue_Adaptation
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	Tissue_Adaptation
GO_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION	Tissue_Adaptation
GO_REGULATION_OF_EXTRACELLULAR_MATRIX_DISASSEMBLY	Tissue_Adaptation
GO_ENDOTHELIAL_CELL_MATRIX_ADHESION_VIA_FIBRONECTIN	Tissue_Adaptation
REACTOME_COLLAGEN_FORMATION	Tissue_Adaptation
REACTOME_COLLAGEN_DEGRADATION	Tissue_Adaptation
GO_COLLAGEN_BIOSYNTHETIC_PROCESS	Tissue_Adaptation
GO_MESENCHYMAL_EPITHELIAL_CELL_SIGNALING	CellTypes_Other
MESOTHELIAL	CellTypes_Other
Mesothelial_extended	CellTypes_Other
Granulocyte_Signature	CellTypes_Other
GO_FIBROBLAST_ACTIVATION	CellTypes_Fibroblasts
GO_FIBROBLAST_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY	CellTypes_Fibroblasts
GO_FIBROBLAST_GROWTH_FACTOR_PRODUCTION	CellTypes_Fibroblasts
GO_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	CellTypes_Fibroblasts
GO_FIBROBLAST_MIGRATION	CellTypes_Fibroblasts
GO_FIBROBLAST_PROLIFERATION	CellTypes_Fibroblasts
GO_FIBRONECTIN_BINDING	CellTypes_Fibroblasts
GO_MYOFIBROBLAST_DIFFERENTIATION	CellTypes_Fibroblasts
GO_RESPONSE_TO_FIBROBLAST_GROWTH_FACTOR	CellTypes_Fibroblasts
HINATA_NFKB_TARGETS_FIBROBLAST_UP	CellTypes_Fibroblasts
MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_UP	CellTypes_Fibroblasts
REACTOME_FIBRONECTIN_MATRIX_FORMATION	CellTypes_Fibroblasts
ZHONG_SECRETOME_OF_LUNG_CANCER_AND_FIBROBLAST	CellTypes_Fibroblasts
Pericyte_Signature	CellTypes_Other
M1_Macrophage	CellTypes_Macrophages
M2_Macrophage	CellTypes_Macrophages
TAM_Macrophage	CellTypes_Macrophages
TCRpos_Macrophage	CellTypes_Macrophages
CD169pos_Macrophage	CellTypes_Macrophages
Invasion_Signature	CellTypes_Macrophages
Metastasis_Macrophage_Signature	CellTypes_Macrophages
Angiogenic_Macrophage_Signature	CellTypes_Macrophages
ImmuneRegulating_Macrophage	CellTypes_Macrophages
Inflammation_Macrophage_Signature	CellTypes_Macrophages
Macrophage_ColdTumor_ImmuneResistant_Signature_Up	CellTypes_Macrophages
GO_CHAPERONE_MEDIATED_PROTEIN_FOLDING	CellTypes_Other
HALLMARK_APOPTOSIS	Cell_Death
REACTOME_SUPPRESSION_OF_APOPTOSIS	Cell_Death
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	Cell_Death
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION	Cell_Death
KEGG_APOPTOSIS	Cell_Death
GO_CELL_MATRIX_ADHESION	Adhesion
GO_CELL_CELL_ADHESIONN	Adhesion
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION	Adhesion
GO_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	Adhesion
GO_CALCIUM_INDEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	Adhesion
GO_CELL_ADHESION_MEDIATED_BY_INTEGRIN	Adhesion
GO_CELL_ADHESION_MOLECULE_BINDING	Adhesion
GO_CELL_ADHESION_MOLECULE_PRODUCTION	Adhesion
GO_CELL_CELL_ADHESION	Adhesion
GO_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN	Adhesion
GO_CELL_CELL_ADHESION_MEDIATED_BY_INTEGRIN	Adhesion
GO_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	Adhesion
GO_COLLAGEN_BINDING_INVOLVED_IN_CELL_MATRIX_ADHESION	Adhesion
GO_ENDOTHELIAL_CELL_MATRIX_ADHESION	Adhesion
GO_ENDOTHELIAL_CELL_MATRIX_ADHESION_VIA_FIBRONECTIN	Adhesion
GO_EPITHELIAL_CELL_CELL_ADHESION	Adhesion
GO_HETEROTYPIC_CELL_CELL_ADHESION	Adhesion
GO_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	Adhesion
GO_HETEROPHILIC_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	Adhesion
GO_HOMOTYPIC_CELL_CELL_ADHESION	Adhesion
GO_LEUKOCYTE_ADHESION_TO_ARTERIAL_ENDOTHELIAL_CELL	Adhesion
GO_LEUKOCYTE_ADHESION_TO_VASCULAR_ENDOTHELIAL_CELL	Adhesion
GO_LEUKOCYTE_CELL_CELL_ADHESION	Adhesion
GO_NEGATIVE_REGULATION_OF_CELL_ADHESION	Adhesion
GO_REGULATION_OF_CELL_ADHESION	Adhesion
GO_REGULATION_OF_CELL_MATRIX_ADHESION	Adhesion
GO_SYNAPTIC_MEMBRANE_ADHESION	Adhesion
WP_INTEGRINMEDIATED_CELL_ADHESION	Adhesion
GO_NEURON_CELL_CELL_ADHESION	Adhesion
GO_POSITIVE_REGULATION_OF_LEUKOCYTE_ADHESION_TO_VASCULAR_ENDOTHELIAL_CELL	Adhesion
GO_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION	Adhesion
GO_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_INTEGRIN	Adhesion
GO_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN	Adhesion
GO_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_INTEGRIN	Adhesion
CALCIUM_INDEPENDENT_CELL_CELL_ADHESION	Adhesion
GO_CALC_DEPEND_CELL_CELL_ADHESION_VIA_PLASMA_MEMBR_MOLEC	Adhesion
Integrin_ecm_Signature	Adhesion
GO_ENDOTHELIAL_CELL_PROLIFERATION	Proliferation
GO_KERATINOCYTE_PROLIFERATION	Proliferation
GO_MESENCHYMAL_CELL_PROLIFERATION	Proliferation
GO_MESENCHYMAL_STEM_CELL_PROLIFERATION	Proliferation
GO_LEUKOCYTE_PROLIFERATION	Proliferation
GO_MACROPHAGE_PROLIFERATION	Proliferation
GO_FIBROBLAST_PROLIFERATION	Proliferation
GO_EPITHELIAL_CELL_PROLIFERATION	Proliferation
GO_CANONICAL_WNT_SIGNALING_PATHWAY_INVOLVED_IN_REGULATION_OF_CELL_PROLIFERATION	Proliferation
HALLMARK_WNT_BETA_CATENIN_SIGNALING	Proliferation
GO_B_CELL_PROLIFERATION	Proliferation
GO_ACTIVATED_T_CELL_PROLIFERATION	Proliferation
GO_VASCULAR_ENDOTHELIAL_CELL_PROLIFERATION	Proliferation
GO_T_CELL_PROLIFERATION	Proliferation
GO_REGULATION_OF_STEM_CELL_PROLIFERATION	Proliferation
REACTOME_VEGFR2_MEDIATED_CELL_PROLIFERATION	Proliferation
HALLMARK_MITOTIC_SPINDLE	Proliferation
REACTOME_SIGNALING_BY_EGFR	Proliferation
REACTOME_SIGNALING_BY_EGFR_IN_CANCER	Proliferation
BIOCARTA_EGF_PATHWAY	Proliferation
HALLMARK_TGF_BETA_SIGNALING	Proliferation
KARAKAS_TGFB1_SIGNALING	Proliferation
REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS	Proliferation
BIOCARTA_PDGF_PATHWAY	Proliferation
REACTOME_SIGNALING_BY_PDGF	Proliferation
GO_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	Proliferation
GO_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	Proliferation
HALLMARK_E2F_TARGETS	Proliferation
HALLMARK_G2M_CHECKPOINT	Proliferation
HALLMARK_MYC_TARGETS_V1	Proliferation
HALLMARK_MYC_TARGETS_V2	Proliferation
HALLMARK_P53_PATHWAY	Proliferation
HALLMARK_MITOTIC_SPINDLE	Proliferation
REACTOME_SIGNALING_BY_EGFR	Signaling_1
REACTOME_SIGNALING_BY_EGFR_IN_CANCER	Signaling_1
BIOCARTA_EGF_PATHWAY	Signaling_1
HALLMARK_WNT_BETA_CATENIN_SIGNALING	Signaling_1
GO_CANONICAL_WNT_SIGNALING_PATHWAY_INVOLVED_IN_REGULATION_OF_CELL_PROLIFERATION	Signaling_1
REACTOME_SIGNALING_BY_WNT_IN_CANCER	Signaling_1
HALLMARK_TGF_BETA_SIGNALING	Signaling_1
KARAKAS_TGFB1_SIGNALING	Signaling_1
REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS	Signaling_1
REACTOME_SIGNALING_BY_PDGF	Signaling_1
GO_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	Signaling_1
GO_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	Signaling_1
HALLMARK_HEDGEHOG_SIGNALING	Signaling_1
HALLMARK_IL2_STAT5_SIGNALING	Signaling_1
HALLMARK_NOTCH_SIGNALING	Signaling_1
HALLMARK_IL6_JAK_STAT3_SIGNALING	Signaling_1
HALLMARK_KRAS_SIGNALING_DN	Signaling_1
HALLMARK_KRAS_SIGNALING_UP	Signaling_1
HALLMARK_PI3K_AKT_MTOR_SIGNALING	Signaling_1
HALLMARK_MTORC1_SIGNALING	Signaling_1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	Signaling_1
CALCIUM_MEDIATED_SIGNALING	Signaling_1
MAPK_PATHWAY	Signaling_1
GO_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY	Signaling_1
WP_ESTROGEN_SIGNALING_PATHWAY	Signaling_1
REACTOME_SIGNALING_BY_VEGF	Signaling_1
KEGG_VEGF_SIGNALING_PATHWAY	Signaling_2
REACTOME_VEGFR2_MEDIATED_CELL_PROLIFERATION	Signaling_2
WP_VEGFAVEGFR2_SIGNALING_PATHWAY	Signaling_2
GO_ANGIOTENSIN_ACTIVATED_SIGNALING_PATHWAY	Signaling_2
REACTOME_SIGNALLING_TO_ERKS	Signaling_2
REACTOME_RAF_ACTIVATION	Signaling_2
REACTOME_SIGNALING_BY_BRAF_AND_RAF_FUSIONS	Signaling_2
REACTOME_ONCOGENIC_MAPK_SIGNALING	Signaling_2
BIOCARTA_ALK_PATHWAY	Signaling_2
BIOCARTA_MET_PATHWAY	Signaling_2
REACTOME_MET_ACTIVATES_PI3K_AKT_SIGNALING	Signaling_2
REACTOME_MET_ACTIVATES_RAS_SIGNALING	Signaling_2
REACTOME_MET_RECEPTOR_ACTIVATION	Signaling_2
BILD_SRC_ONCOGENIC_SIGNATURE	Signaling_2
GO_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	Signaling_2
GO_PROGESTERONE_RECEPTOR_SIGNALING_PATHWAY	Signaling_2
GO_EPIDERMAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	Signaling_2
GO_HEPATOCYTE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	Signaling_2
GO_NERVE_GROWTH_FACTOR_SIGNALING_PATHWAY	Signaling_2
GO_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_ALPHA_SIGNALING_PATHWAY	Signaling_2
GO_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_BETA_SIGNALING_PATHWAY	Signaling_2
GO_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	Signaling_2
GO_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY	Signaling_2
GO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	Signaling_2
GO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_SIGNALING_PATHWAY	Signaling_2
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING	Signaling_2
GO_MACROPHAGE_FUSION	Cell_Fusion
GO_MEMBRANE_FUSION	Cell_Fusion
GO_MYOBLAST_FUSION	Cell_Fusion
GO_MYOBLAST_FUSION_INVOLVED_IN_SKELETAL_MUSCLE_REGENERATION	Cell_Fusion
GO_OSTEOCLAST_FUSION	Cell_Fusion
GO_PLASMA_MEMBRANE_FUSION	Cell_Fusion
GO_SNARE_BINDING	Cell_Fusion
GO_SNARE_COMPLEX	Cell_Fusion
GO_SNARE_COMPLEX_ASSEMBLY	Cell_Fusion
GO_CHRONIC_INFLAMMATORY_RESPONSE	CellResponse_Inflammation
GO_ACUTE_INFLAMMATORY_RESPONSE	CellResponse_Inflammation
GO_INFLAMMATORY_RESPONSE	CellResponse_Inflammation
GO_INFLAMMATORY_RESPONSE_TO_WOUNDING	CellResponse_Inflammation
GO_LEUKOCYTE_CHEMOTAXIS_INVOLVED_IN_INFLAMMATORY_RESPONSE	CellResponse_Inflammation
GO_LEUKOCYTE_MIGRATION_INVOLVED_IN_INFLAMMATORY_RESPONSE	CellResponse_Inflammation
GO_WOUND_HEALING_INVOLVED_IN_INFLAMMATORY_RESPONSE	CellResponse_Inflammation
HALLMARK_INFLAMMATORY_RESPONSE	CellResponse_Inflammation
WP_IL10_ANTIINFLAMMATORY_SIGNALING_PATHWAY	CellResponse_Inflammation
EINAV_INTERFERON_SIGNATURE_IN_CANCER	CellResponse_Inflammation
GO_CELLULAR_RESPONSE_TO_INTERFERON_ALPHA	CellResponse_Inflammation
GO_INTERFERON_ALPHA_PRODUCTION	CellResponse_Inflammation
GO_CELLULAR_RESPONSE_TO_INTERFERON_BETA	CellResponse_Inflammation
GO_INTERFERON_BETA_PRODUCTION	CellResponse_Inflammation
GO_INTERFERON_GAMMA_PRODUCTION	CellResponse_Inflammation
GO_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY	CellResponse_Inflammation
HALLMARK_INTERFERON_ALPHA_RESPONSE	CellResponse_Inflammation
HALLMARK_INTERFERON_GAMMA_RESPONSE	CellResponse_Inflammation
Pro_Inflammatory	CellResponse_Inflammation
