SYMBOL	group	notes	
SIGLEC10	immunoregulatory		
SIGLEC7	immunoregulatory		
SIGLEC8	immunoregulatory		
SIGLEC9	immunoregulatory		
SMN1	microenvironment		
SOX17	relevant_pathways		
ST3GAL1	glyco		
ST3GAL2	glyco		
ST6GAL1	glyco		
ST8SIA1	glyco		
TEK	tumor_marker		
TOP2A	cell_status		
TP53	tumor_marker		
TUBB	microenvironment		
TUBB1	microenvironment		
TUBB3	microenvironment		
UGCG	glyco		
VCAM1	drug_target		
VEGF	drug_target		
VIM	em_transition		
WNT5A	relevant_pathways		
WNT8B	relevant_pathways		
WT1	exploratory		
YAP1	relevant_pathways		
PDCD1	immunoregulatory		
CD274	immunoregulatory		
CTLA4	immunoregulatory		
LAG3	immunoregulatory		
GZMB	immunoregulatory		
HLA-DRA	immunoregulatory		
HLA-DRB1	immunoregulatory		
HLA-DRB3	immunoregulatory		
HLA-DRB4	immunoregulatory		
HLA-DRB5	immunoregulatory		
HAVCR2	immunoregulatory		
TIGIT	immunoregulatory		
IDO1	immunoregulatory		
IDO2	immunoregulatory		
ICOS	immunoregulatory		
CD80	immunoregulatory		
CD86	immunoregulatory		
CD28	immunoregulatory		
TNFRSF9	immunoregulatory		
TNFRSF18	immunoregulatory		
IL2	cytokines		
IL3	cytokines		
IL6	cytokines		
IL4	cytokines		
IL10	cytokines		
IL13	cytokines		
IL17A	cytokines		
IL17B	cytokines		
IL17C	cytokines		
IL17D	cytokines		
IL23A	cytokines		
IL23R	cytokines		
GDF15	cytokines		
TNF	cytokines		
TGFB1	cytokines		
IRF1	drug_target		
FSHR	exploratory		
ACTN1	exploratory		
AKAP13	exploratory		
AKAP9	exploratory		
ANKRD11	exploratory		
ATAD3C	exploratory		
C1orf186	exploratory		
CA12	exploratory		
CALD1	exploratory		
CCNL1	exploratory		
CPSF1	exploratory		
CSAD	exploratory		
CYP4X1	exploratory		
DLG5	exploratory		
ECHDC2	exploratory		
ERBB3	exploratory		
GABRE	exploratory		
KIAA1217	exploratory		
KMT2E	exploratory		
LAMA5	exploratory		
LUC7L3	exploratory		
MBD6	exploratory		
MBNL1	exploratory		
MEIS2	exploratory		
MSL1	exploratory		
MTRNR2L1	exploratory		
MTRNR2L10	exploratory		
MTRNR2L12	exploratory		
MTRNR2L2	exploratory		
MTRNR2L8	exploratory		
NKTR	exploratory		
PABPN1	exploratory		
PHF20L1	exploratory		
PILRB	exploratory		
PLXNB1	exploratory		
POLR2J3	exploratory		
PRUNE2	exploratory		
PTPRF	exploratory		
RHPN1	exploratory		
RNPC3	exploratory		
SETD5	exploratory		
SF1	exploratory		
SLC25A29	exploratory		
SLC25A36	exploratory		
SLC25A37	exploratory		
SLC26A2	exploratory		
SNRNP70	exploratory		
SON	exploratory		
SORL1	exploratory		
SRGAP3	exploratory		
SYNE2	exploratory		
THSD4	exploratory		
TSHZ2	exploratory		
USP53	exploratory		
WDR60	exploratory		
ZMYND8	exploratory		
ZNF292	exploratory		
ZNF83	exploratory		
ITGA1	integrin_ecm		
ITGA2	integrin_ecm		
ITGA3	integrin_ecm		
ITGA4	integrin_ecm		
ITGA5	integrin_ecm		
ITGA6	integrin_ecm		
ITGA7	integrin_ecm		
ITGA8	integrin_ecm		
ITGA9	integrin_ecm		
ITGA10	integrin_ecm		
ITGA11	integrin_ecm		
ITGAD	integrin_ecm		
ITGAE	integrin_ecm		
ITGAL	integrin_ecm		
ITGAM	integrin_ecm		
ITGAV	integrin_ecm		
ITGA2B	integrin_ecm		
ITGAX	integrin_ecm		
ITGB1	integrin_ecm		
ITGB2	integrin_ecm	macrophage marker	
ITGB3	integrin_ecm		
ITGB4	integrin_ecm		
ITGB5	integrin_ecm		
ITGB6	integrin_ecm		
ITGB7	integrin_ecm		
ITGB8	integrin_ecm		
TLN1	integrin_ecm		TALIN
COL1A1	integrin_ecm	stormal marker	
COL1A2	integrin_ecm		
COL2A1	integrin_ecm		
COL3A1	integrin_ecm		
COL4A1	integrin_ecm		
COL4A2	integrin_ecm		
COL5A1	integrin_ecm		
COL5A2	integrin_ecm		
COL6A1	integrin_ecm		
COL6A2	integrin_ecm		
COL6A3	integrin_ecm		
COL8A1	integrin_ecm		
COL10A1	integrin_ecm		
COL12A1	integrin_ecm		
COL14A1	integrin_ecm		
COL18A1	integrin_ecm	HGSOC marker	
FN1	em_transition		
TWIST1	em_transition		
SERPINE1	em_transition		
LAMA1	integrin_ecm		
LAMA2	integrin_ecm		
LAMA3	integrin_ecm		
LAMA4	integrin_ecm		
ALCAM	integrin_ecm		
ENG	integrin_ecm		
PDGFRA	integrin_ecm		
FAP	integrin_ecm		
FABP4	integrin_ecm		
FGFR1	exploratory		check isoforms for CyTOF
FGFR2	exploratory		check isoforms for CyTOF
FGFR3	exploratory		check isoforms for CyTOF
FGFR4	exploratory		check isoforms for CyTOF
FGFR5	exploratory		check isoforms for CyTOF
CD14	Macro_marker	general Macro marker	coreceptor for bacterial LPS
FCGR3A	Macro_marker	general Macro marker	CD16 (Fc-gamma receptor IIIB), recognition of antibody bound antigen
FCGR1A	Macro_marker	general Macro marker	CD64 (Fc-gamma receptor I A1), recognition of antibody bound antigen
CD68	Macro_marker	general Macro marker	Binds to tissue- and organ-specific lectins or selectins,  member of the scavenger receptor family clearing cell debris
TFRC	Macro_marker	general Macro marker	CD71 (transferrin receptor), cellular iron uptake
ITGAM	Macro_marker	general Macro marker	CD11b, implicated in various adhesive interactions of monocytes, macrophages and granulocytes, mediates uptake of complement-coated particles and pathogens
HLA-DR	Macro_marker	general Macro marker	class II antigen presentation
NOS2	Macro_marker	general Macro marker	production of nitric oxide (NO), enhances pro-inflammatory mediators such as IL6/IL8, in macros, NO mediates tumoricidal/bactericidal actions
CXCL9	Macro_marker	M1 Macrophage	chemoattractant for lymphocytes but not neutrophils, chemotactic for activated T-cells, binds to CXCR3
CXCL10	Macro_marker	M1 Macrophage	pro-inflammatory cytokine, binds CXCR3, recruitment of immune cells to site of infection
CXCL11	Macro_marker	M1 Macrophage	pro-inflammatory cytokine, binds CXCR3, chemotactic for interleukin-activated T-cells but not unstimulated T-cells, neutrophils or monocytes.
CD80	Macro_marker	M1 Macrophage	costimulatory signal for T-lymphocyte activation, ligand to CD28/CTLA-4, activates T cells when bound to CD28, inhibits T cells when bound to CTLA4
CD86	Macro_marker	M1 Macrophage	paralog of CD80, costimulatory signal to T cells, CD28/CTLA-4 ligand -> induces/inhibits T cell activation
STAT2	Macro_marker	M1 Macrophage	mediates singling by type I interferon (IFNA, IFNB), becomes phosphorylated, binds with STAT1, activates IFN-regulated genes -> antiviral cell state
TLR2	Macro_marker	M1 Macrophage	pathogen recognition (PAMPs), mediates innate immune response to bacterial lipoproteins and lipopeptides
IL18	Macro_marker	M1 Macrophage	pro-inflammatory cytokine that augments natural killer cell activity and stimulates interferon gamma production in T-helper type I cells
IL6	Macro_marker	M1 Macrophage	pro-inflammatory cytokine (acute phase response), induces B cell maturation, pyrogen (fever-inducing)
CIITA	Macro_marker	M1 Macrophage	controls MHC class II gene transcription
SOCS3	Macro_marker	M1 Macrophage	negative regulators of cytokine signaling, regulates IL-6 signalling
CCL17	Macro_marker	M2 Macrophage	Chemotactic factor for T-lymphocytes but not monocytes or granulocytes. May play a role in trafficking and activation of mature T-cells. Binds to CCR4.
CCL18	Macro_marker	M2 Macrophage	Chemotactic, attracts lymphocytes but not monocytes/granulocytes. 
CCL22	Macro_marker	M2 Macrophage	Cytokine: Chemotactic for monocytes, dendritic cells, natural killer cells and for chronically activated T lymphocytes. Binds CCR4.
CD209	Macro_marker	M2 Macrophage	Pathogen-recognition receptor (many viruses, ICAM2/3) expressed on immature dendritic cells and involved in initiation of primary immune response. 
CD163	Macro_marker	M2/TAM	Acute phase-regulated receptor involved in clearance and endocytosis of hemoglobin complexes. May thereby protect tissues from free oxidative damage. Soluble has anti-inflammatory activity.
STAT3	Macro_marker	M2 Macrophage	mediates cellular responses to interleukins, KITLG/SCF, LEP and other growth factors. Acts as a regulator of inflammatory response by regulating differentiation of naive CD4(+) T-cells into T-helper Th17 or regulatory T-cells (Treg).
STAT6	Macro_marker	M2 Macrophage	Involved in IL4/interleukin-4- and IL3/interleukin-3-mediated signaling. Humoral activity: differentiation of T helper 2 (Th2) cells
IL10	Macro_marker	M2/TAM	Major immuneregulatory cytokine that acts on many cells of the immune system, it has profound anti-inflammatory functions limiting excessive tissue disruption caused by inflammation. Downregulates Th1 cytokine expression, MHCII expression and costimulatory receptors on macrophages, inhibits release of proinfl cytokines, enhances B cell activity
MRC1	Macro_marker	M2/TAM/CD169+	CD206, Mannose Receptor, acts as phagocytic receptor for bacteria, fungi and other pathogens, mediates the endocytosis of glycoproteins by macrophages
CD200R1	Macro_marker	M2 Macrophage	Limits inflammation by inhibiting expression of pro-inflammatory molecules (TNF-alpha, interferons, iNOS) in response to selected stimuli.
TGFB1	Macro_marker	M2/TAM	Transforming growth factor beta, regulates cell proliferation, differentiation and growth, frequently upregulated in tumor cells
VEGFR	Macro_marker	M2 Macrophage	key element of the urea cycle, metabolites proline and polyamides drive collagen synthesis and cell proliferation, critical regulator of innate and adaptive immune responses
VEGFA	Macro_marker	TAM	Growth factor active in angiogenesis, vasculogenesis and endothelial cell growth. Induces endothelial cell proliferation, promotes cell migration, inhibits apoptosis and induces permeabilization of blood vessels
VEGFB	Macro_marker	TAM	regulates the formation of blood vessels and are involved in endothelial cell physiology
VEGFC	Macro_marker	TAM	Growth factor active in angiogenesis, and endothelial cell growth, stimulating their proliferation and migration and also has effects on the permeability of blood vessels
VEGFD	Macro_marker	TAM	Growth factor active in angiogenesis, lymphangiogenesis and endothelial cell growth, stimulating their proliferation and migration and also has effects on the permeability of blood vessels. 
CD3G	Macro_marker	TAM/TCR+	CD3, universal T cell marker
CD3E	Macro_marker	TAM/TCR+	CD3, universal T cell marker
CD3D	Macro_marker	TAM/TCR+	CD3, universal T cell marker
CCL2	Macro_marker	TAM/TCR+	cytokine, chemotactic activity for monocytes and basophils but not for neutrophils or eosinophils, binds CCR2/4
STAT1	Macro_marker	TAM	Signal transducer and transcription activator that mediates cellular responses to interferons (IFNs)
TRAC	Macro_marker	TCR+	Constant region of T cell receptor (TR) alpha chain
TRGC2	Macro_marker	TCR+	Constant region of T cell receptor (TR) gamma chain that participates in the antigen recognition
ZAP70	Macro_marker	TCR+	functions in the initial step of TCR-mediated signal transduction in combination with the Src family kinases, Lck and Fyn
FYN	Macro_marker	TCR+	participates in negative feedback regulation of TCR signaling
LCK	Macro_marker	TCR+	plays a key role in T-cell antigen receptor (TCR)-linked signal transduction pathways
SIGLEC1	Macro_marker	CD169+	CD169, lectin-like adhesion molecule that binds glycoconjugate ligands, expressed by subpopulation of macrophages
ITGAX	Macro_marker	CD169+ 	CD11c, mediates cell-cell interaction during inflammatory responses. It is especially important in monocyte adhesion and chemotaxis
MARCO	Macro_marker	MARCO+	Pattern recognition receptor (PRR) which binds Gram-positive and Gram-negative bacteria
INFG	Macro_marker	IFNG+	pro-inflammatory cytokine, activates macrophages and inhibits Th2 proliferation, stimulates B cells secrete antibodies
GATA6	Macro_marker	regulates macrophages	tissue-resident macrophages, dependent on GATA6
CD19	Bcell_marker	general B cell marker	
MS4A1	Bcell_marker	general B cell marker	
CD79A	Bcell_marker	general B cell marker	
CXCR5	Bcell_marker	pos for memory B cell	
CR2	Bcell_marker	CD21, high for marginal zone B cells, pos for follicular B cells	
FCER2	Bcell_marker	CD23, high for follicular B cells, pos for marginal zone B cells	
CD24	Bcell_marker	high on regulatory B cells	
CD1D	Bcell_marker	high on regulatory B cells	
CD1	Bcell_marker	pos for marginal zone B cells	
CD38	Bcell_marker	activated B cell marker	
CD5	Bcell_marker	pos for regulatory B cells	
PRDM1	Bcell_marker	BLIMP1, plasma cell transcription factor	
CD27	Bcell_marker	pos for activated B cells including plasmablasts/cells	
BCL6	Bcell_marker	germinal centre B cell specific transcription factor	
AICDA	Bcell_marker	key germinal centre marker gene (dark zone), DNA editing	
CD69	Bcell_marker	activated B cells	
IL2RA	Bcell_marker	activated B cells	
TNFRSF8	Bcell_marker	activated B cells	
MME	Bcell_marker	CD10, pos for germinal centre B cells	
SDC1	Bcell_marker	CD138, plasma cell marker	
IRF4	Bcell_marker	plasma cell transcription marker	
XBP1	Bcell_marker	plasma cell transcription factor	
CD40	Bcell_marker	pos for memory B cells	
CD83	Bcell_marker	high on germinal centre light zone cells	
BCL2A1	Bcell_marker	apoptosis, high on GC light zone cells	
IL10	Bcell_marker	cytokine of regulatory B cells	
TGFB1	Bcell_marker	cytokine of regulatory B cells	
IL12A	Bcell_marker	cytokine of regulatory B cells	
IGHM	Bcell_marker	on naive B cells	
IGHD	Bcell_marker	on naive B cells	
IGHE	Bcell_marker	isotype switched B cell, allergy response	
IGHA1	Bcell_marker	isotype switched B cell, secreted: mucosal surface and gut	
IGHA2	Bcell_marker	isotype switched B cell, secreted: mucosal surface and gut	
IGHG1	Bcell_marker	isotype switched B cell, IgG1, plasma antibody	
IGHG2	Bcell_marker	isotype switched B cell, IgG2, plasma antibody	
IGHG3	Bcell_marker	isotype switched B cell, IgG3, plasma antibody	
IGKC	Bcell_marker	light chain constant kappa, high in plasma cells	
IGLC1	Bcell_marker	light chain constant lambda 1, high in plasma cells	
IGLC2	Bcell_marker	light chain constant lambda 2, high in plasma cells	
CD4	Tcell_marker	CD4 pos, Treg	
CD8A	Tcell_marker	CD8 pos	
CD8B	Tcell_marker	CD8 pos	
FOXP3	Tcell_marker	Treg	
CTLA4	Tcell_marker	Treg	
IL2RA	Tcell_marker	Treg	
LAG3	Tcell_marker	CD8 pos	
FASLG	Tcell_marker	CD8 pos	
HAVCR2	Tcell_marker	CD8 pos	
PDCD1	Tcell_marker	CD8 pos	
CD38	Tcell_marker	CD8 pos	
ENTPD1	Tcell_marker	CD8 pos	
BATF	Tcell_marker	CD8 pos	
PTPN6	Tcell_marker	CD8 pos	
CD3E	Tcell_marker	general	
CD3G	Tcell_marker	general	
CD3D	Tcell_marker	general	
TRAC	Tcell_marker	gamma delta	
TRGC2	Tcell_marker	gamma delta	
IL17A	Tcell_marker	activated, TH 17	
IL17F	Tcell_marker	activated, TH17	
IFNG	Tcell_marker	activates macrophages	
TBX21	Tcell_marker	TH1 cells	
IL4	Tcell_marker	activated, TH 2	
IL13	Tcell_marker	activated TH2 cells	
GATA3	Tcell_marker	TH2 cells	
EBI3	Tcell_marker	Cd4 differentiation	
IL21	Tcell_marker	potentially NK cell differentiation	
TNFA	Tcell_marker	activator and regulator of immune function	
KLRD1	Nkcell_marker	CD94	inhibitory receptor
KLRC1	Nkcell_marker	NKG2A/CD159a	
KLRC2	Nkcell_marker	NKG2C/CD159c	activating receptor
CD69	Nkcell_marker	CLEC2C	activation marker
KLRK1	Nkcell_marker	NKG2D	activation marker/activating receptor
CRTAM	Nkcell_marker	CD355	
CD266	Nkcell_marker	DNAM1, NECTIN2-Rec	adhesion glycoprotein
CD96	Nkcell_marker	TACTILE (NECTIN1/PVR Rec)	
TIGIT	Nkcell_marker	NECTIN2/3/PVR Rec	inhibitory receptor
LILRB1	Nkcell_marker		inhibitory receptor
CEACAM1	Nkcell_marker		inhibitory receptor
LAIR1	Nkcell_marker	CD305	inhibitory receptor
NCAM1	Nkcell_marker	CD56	main NK cell marker
KIR2DS1	Nkcell_marker	CD158H	activating KIR
KIR2DS2	Nkcell_marker	CD158J	activating KIR
KIR2DS3	Nkcell_marker	NKAT-7	activating KIR
KIR2DS4	Nkcell_marker	NKAT-8, CD158I	activating KIR
KIR2DS5	Nkcell_marker	NKAT-9, CD158G	activating KIR
KIR3DS1	Nkcell_marker	NKAT-10, CD158E2	activating KIR
KIR2DL1	Nkcell_marker	NKAT-1, CD158A	inhibitory KIR
KIR2DL2	Nkcell_marker	NKAT-6, CD158B1	inhibitory KIR
KIR2DL3	Nkcell_marker	NKAT-2, CD158B2	inhibitory KIR
KIR2DL4	Nkcell_marker	CD158D	inhibitory KIR
KIR2DL5	Nkcell_marker	CD158F	inhibitory KIR
KIR3DL1	Nkcell_marker	NKAT-3, CD158E1	inhibitory KIR
KIR3DL2	Nkcell_marker	NKAT-4, CD158K	inhibitory KIR
KIR3DL3	Nkcell_marker	CD158Z	inhibitory KIR
TNFRSF9	Nkcell_marker	4-1BB, CD137	
CD2	Nkcell_marker		
NCR1	Nkcell_marker	NKp46, CD335	activating receptor
NCR2	Nkcell_marker	NKp44, CD336	activating receptor
NCR3	Nkcell_marker	NKp30, CD337	activating receptor
KLRF1	Nkcell_marker	NKp80, CLEC5C	activating receptor
CD244	Nkcell_marker	NKR2B4, SLAMF4	
CCL3	Nkcell_marker		recruit immune cells, wound healing, maintain effector IR - also secreted by MO
CCL4	Nkcell_marker		chemoattractant for NK cells, monocytes and other IC
CCL5	Nkcell_marker	RANTES	chemoattractant for T cells
GZMB	Nkcell_marker		
IL2RB	Nkcell_marker	CD122	
PRF1	Nkcell_marker		
EOMES	Nkcell_marker		
TBX21	Nkcell_marker	TBET	
IFNG	Nkcell_marker		
ICAM1	Nkcell_marker		
CCL4	Nkcell_marker		
FCGR3A	Nkcell_marker	CD16 	activating receptor
ITGB2	Nkcell_marker	CD18	
FSHR	exploratory		
PAX7	exploratory		
MYF5	exploratory		
SOX2	exploratory		
KLF4	exploratory		
WNT1	exploratory		representative WNT familiy, maybe include more?
WNT2	exploratory		
BMP4	exploratory		
BMP7	exploratory		
FGF21	exploratory		
EN1	exploratory		
PRDM16	exploratory		
CEBPB	exploratory		
NOG	exploratory		
SHH	exploratory		
BMP2	exploratory		
MYOG	exploratory		
IGF1	exploratory		
MYOD1	exploratory		
POU5F1	exploratory		OCT4 alias?
ATXN1	exploratory		for SCA-1
CD24	exploratory		
CD34	exploratory		
CA3	exploratory		
CD29	exploratory		
PPARG	exploratory		
ACTA2	exploratory		
PLIN1	exploratory		
ADIG	exploratory		
CDCA8	exploratory		
CEBPA	exploratory		
DPP4	exploratory		
CD44	exploratory		
PDPN	exploratory		gp38
THY1	exploratory		CD90
MCAM	exploratory		
DCN	exploratory		
KIT	exploratory		
ENG	exploratory		
CSPG4	exploratory		both NG2
RNF5	exploratory		both NG2
ICAM1	exploratory		
CXCL1	pro_inflammatory		
CXCL2	pro_inflammatory		
CXCL8	pro_inflammatory		
CXCL9	pro_inflammatory		
CXCL10	pro_inflammatory		
CXCL11	pro_inflammatory		
CCL2	pro_inflammatory		
CCL3	pro_inflammatory		
CCL4	pro_inflammatory		
CCL5	pro_inflammatory		
CCL11	pro_inflammatory		
IL6	pro_inflammatory		
IFNG	pro_inflammatory		
TNF	pro_inflammatory		
IL1A	pro_inflammatory		
IL1B	pro_inflammatory		
IL1RN	pro_inflammatory		
IL12A	pro_inflammatory		
IL18	pro_inflammatory		
CSF2	pro_inflammatory		
IL17A	pro_inflammatory		
IL23	pro_inflammatory		
IL27	pro_inflammatory		
IL4	anti_inflammatory		
IL10	anti_inflammatory		
IL13	anti_inflammatory		
IFNA1	anti_inflammatory		
TGFB1	anti_inflammatory		
IL6	anti_inflammatory		
CCL22	anti_inflammatory		
CXCL10	anti_inflammatory		
CCL1	anti_inflammatory		
CCL17	anti_inflammatory		
CCL18	anti_inflammatory		
CCL24	anti_inflammatory		
IL2	Th1_profile		
IL12	Th1_profile		
IL18	Th1_profile		
IL27	Th1_profile		
IL2	Th1_profile		
IL10	Th1_profile		
IFNG	Th1_profile		
TNFA	Th1_profile		
STAT4	Th1_profile		
TBX21	Th1_profile		
IL12RB1	Th1_profile		
IFNGR1	Th1_profile		
IL4	Th2_profile		
IL5	Th2_profile		
IL6	Th2_profile		
IL10	Th2_profile		
IL13	Th2_profile		
STAT6	Th2_profile		
GATA3	Th2_profile		
IL4R	Th2_profile		
IL17A	Th17_profile		
IL17F	Th17_profile		
IL21	Th17_profile		
IL22	Th17_profile		
TGFB1	Th17_profile		
IL6	Th17_profile		
STAT3	Th17_profile		
TGFBR1	Th17_profile		
TGFB1	Treg_profile		
IL10	Treg_profile		
IL12A	Treg_profile		
EBI3	Treg_profile		
TGFBR1	Treg_profile		
IL2RA	Treg_profile		
FOXP3	Treg_profile		
CXCL12	stem_cell_markers	Stromal cell derived factor SDF-1alpha	Adult (tissue) stem cells
CXCR4	stem_cell_markers		Adult (tissue) stem cells
WT1	stem_cell_markers	Wilms Tumor Protein	Adult (tissue) stem cells
NANOG	stem_cell_markers		Pluripotent stem cells
POU5F1	stem_cell_markers	Oct-4, also listed as "mesenchymal" stem cell marker	Pluripotent stem cells
FUT4	stem_cell_markers	Fucosyltransferase, SSEA-1	Pluripotent stem cells
DPPA3	stem_cell_markers	Stella	Pluripotent stem cells
GREM1	stem_cell_markers	Gremlin1, PIG2 (cytokine)	Pluripotent stem cells
IRF6	stem_cell_markers		Pluripotent stem cells
TDGF1	stem_cell_markers	Cripto, embryo and epithelial cancers (secretory)	Pluripotent stem cells
FGF10	stem_cell_markers	FGF family, wound healing, cell survival (secretory)	Pluripotent stem cells
GDF3	stem_cell_markers	secretory	Pluripotent stem cells
CD9	stem_cell_markers	surface	Pluripotent stem cells
DLL1	stem_cell_markers	Delta1, surface	Pluripotent stem cells
ITGA6	stem_cell_markers	surface,CD49f, also listed as "other" marker	Pluripotent stem cells
ITGB1	stem_cell_markers	CD29, surface, also listed as "mesenchymal" stem cell marker	Pluripotent stem cells
SHH	stem_cell_markers	sonic hedgehog (surface)	Pluripotent stem cells
CD24	stem_cell_markers		Other stem cell markers
ROR1	stem_cell_markers		Other stem cell markers
CD44	stem_cell_markers		Mesenchymal stem cells
THY1	stem_cell_markers	CD90, also as "other" marker	Mesenchymal stem cells
ENG	stem_cell_markers	Endoglin, CD105, also as "other" marker	Mesenchymal stem cells
VCAM1	stem_cell_markers	CD106, vascular cell adhesion molecule	Mesenchymal stem cells
ALCAM	stem_cell_markers	CD166, activated leukocyte cell adhesion molecule	Mesenchymal stem cells
ITGAV	stem_cell_markers	CD51	Mesenchymal stem cells
NT5E	stem_cell_markers	CD73, also as "other" marker	Mesenchymal stem cells
ICAM1	stem_cell_markers	CD54	Mesenchymal stem cells
CD58	stem_cell_markers	LFA3	Mesenchymal stem cells
ITGB3	stem_cell_markers	Integrin beta 3, CD61,also as "other" marker	Mesenchymal stem cells
SELL	stem_cell_markers	CD62L	Mesenchymal stem cells
ITGA5	stem_cell_markers	CD49e	Mesenchymal stem cells
ITGA4	stem_cell_markers	CD49d	Mesenchymal stem cells
ITGA3	stem_cell_markers	CD49c	Mesenchymal stem cells
ITGA2	stem_cell_markers	CD49b	Mesenchymal stem cells
ITGA1	stem_cell_markers	CD49a	Mesenchymal stem cells
ICAM2	stem_cell_markers	CD102	Mesenchymal stem cells
ITGB4	stem_cell_markers	CD104	Mesenchymal stem cells
IL3RA	stem_cell_markers	CD123	Mesenchymal stem cells
IL4R	stem_cell_markers	CD124	Mesenchymal stem cells
IL6R	stem_cell_markers	CD126	Mesenchymal stem cells
IL7R	stem_cell_markers	CD127	Mesenchymal stem cells
PDGFRA	stem_cell_markers	CD140a	Mesenchymal stem cells
MME	stem_cell_markers	CD10	Mesenchymal stem cells
ANPEP	stem_cell_markers	CD13	Mesenchymal stem cells
NGFR	stem_cell_markers	CD271, nerve growth factor receptor	Mesenchymal stem cells
PDGFRB	stem_cell_markers	CD140b	Mesenchymal stem cells
ERBB2	stem_cell_markers	CD340	Mesenchymal stem cells
MCAM	stem_cell_markers	CD146, melanoma cell adhesion molecule	Mesenchymal stem cells
LGR5	stem_cell_markers	Intestine and colon, surface marker	Adult/Cancer stem cells
TNFRSF19	stem_cell_markers	Troy	Adult/Cancer stem cells
GATA6	stem_cell_markers		Adult/Cancer stem cells
LGR6	stem_cell_markers		Adult/Cancer stem cells
LRIG1	stem_cell_markers		Adult/Cancer stem cells
POU3F2	stem_cell_markers		Adult/Cancer stem cells
SOX2	stem_cell_markers		Adult/Cancer stem cells
SALL2	stem_cell_markers		Adult/Cancer stem cells
OLIG2	stem_cell_markers		Adult/Cancer stem cells
PROM1	stem_cell_markers	CD133,also as "other" marker	Adult/Cancer stem cells
CD33	stem_cell_markers		Adult/Cancer stem cells
DLL3	stem_cell_markers		Adult/Cancer stem cells
KDM1A	stem_cell_markers		Adult/Cancer stem cells
HDAC1	stem_cell_markers		Adult/Cancer stem cells
HDAC1-11	stem_cell_markers		Adult/Cancer stem cells
DOT1L	stem_cell_markers		Adult/Cancer stem cells
