gene	Mesenchymal.progenitor_2	Mesenchymal.progenitor_8	Mesothelial_4	T.NK_20	Mesothelial_18	T.NK_11	Mesothelial_1	T.NK_22	T.NK_3	Monocyte.Macrophage_15	Mesothelial_13	T.NK_17	T.NK_19	B.cells_16	Endothelial_9	Neutrophils_5	Noise_7	Tumor_HGSOC_14	Mast.cells_25	EMT_24	T.NK_23	Lymphatic.endothelial_6	Plasma_21	T.NK_12	Plasmacytoid.dendritic_10
SDF4	0.657	0.763	0.1443	0.2002	0.329	0.1611	0.3585	0.3452	0.3398	0.224	0.1239	0.2155	0.7031	0.0669	0.3646	0.0361	0.1602	0.5451	0.3885	0.3979	0.2168	0.4063	0.9024	0.1738	0.3537
B3GALT6	0	0	0	0	0	0	0	2e-04	0	1e-04	0	0	0	0	0	0	0	0.0019	0	0.0012	0	0	0	0	0.0073
UBE2J2	5e-04	5e-04	0	2e-04	0	2e-04	0	0.0045	0	0.0027	0	0	0.001	9e-04	0	0.0022	0	0.2229	0	8e-04	0	0	0.0098	8e-04	0.0171
SCNN1D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAP3	0	5e-04	0	0	0	0	0	2e-04	0	4e-04	0	0	0	0	0	0	0	0	0	8e-04	0	0	0	0	0
PUSL1	0	0	0	0	0	0	0	0	0	1e-04	0	0	0	0	0	0	0	7e-04	0	0	0	0	0	0	0
INTS11	0	3e-04	0.0049	9e-04	0.0571	0	0.0412	0.0012	1e-04	9e-04	0.0031	0	0	0	0.0032	5e-04	0.0326	0.0762	0	0.0012	0	0.0095	0	8e-04	0.0024
CPTP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6e-04	0	0.003	3e-04	0	0	0	0	0	0	0
DVL1	1e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	6e-04	0	0	0.0015	0	4e-04	0	0	0.0014	0	0
MXRA8	1.1849	1.4948	0.0068	0.0011	0.0131	0.0103	0.0066	0.001	0.0043	0	0.0175	6e-04	0.0025	0.0047	0	0.0199	0.0623	0	0.0096	0.5756	0.0266	0.0063	0	0	0
AURKAIP1	0.4697	0.6275	0.786	0.6649	0.7532	0.4177	0.8476	0.7937	0.6804	0.5364	0.3438	0.5687	0.7905	0.6843	0.5417	0.2308	0.3531	1.9359	0.7218	0.3971	0.8499	0.727	1.417	0.7101	0.7878
CCNL2	0.0783	0.1078	0.0262	0.1306	0.0408	0.2421	0.0537	0.0986	0.1571	0.0405	0.3384	0.1133	0.0636	0.1338	0.1252	0.0046	0.0653	0.287	0.0695	0.2489	0.0994	0.1619	0.0851	0.0206	0.2366
ANKRD65	1e-04	0	0	0	0	0	0	0	0	0	4e-04	0	0	0	0.0019	0	0	0.1081	0	0	0	0	0	0	0
VWA1	0.0069	0	2e-04	0	0	6e-04	1e-04	2e-04	0	0.002	0.0058	0	0	0	0.319	3e-04	0.0059	0.3293	0	0	0	0.0254	0.0028	0	0
ATAD3C	0	0	0	0	2e-04	0	0	0	0	0	0	0	0	0	0	0	0	0.0159	0	0	0	0	0	0	0
ATAD3B	0	0	0	0	2e-04	2e-04	0	0	0	0	0	0	0	0	0	0	0	0.0399	0	8e-04	0	0	0	0	0.0049
ATAD3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0319	0	0.0012	0	0	0	0.0012	0
TMEM240	1e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSU72	0.2996	0.4326	0.3119	0.5361	0.5178	0.466	0.5512	0.6068	0.6037	0.3703	0.3761	0.5418	0.6882	0.7708	0.5988	0.1598	0.2582	1.4167	0.5012	0.2224	0.8616	0.6127	0.5509	0.2347	0.4293
FNDC10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIB2	0	3e-04	0	0.002	0	0	0	0.0439	0	0	0	0	0	0	0	0	0	0.0033	0.0048	0.0012	0	0	0.0042	0	0.0146
MMP23B	0.3236	0.6127	0.6815	0.0065	0.6732	0.0141	0.7475	0.0281	0.0192	0	0.4724	0.0126	0.0025	0.0026	0	0.009	0.178	0.0394	0.0264	0.4584	0.0161	0.0032	0.0014	0	0.0146
CDK11B	0	3e-04	1e-04	0.005	0	9e-04	0	0.0069	0.0047	1e-04	0	1e-04	5e-04	0.0081	0	0	0.003	0.0128	0.0096	0	0.0012	0	0	0	0.0122
SLC35E2B	1e-04	0	0	0	0	0	0	0.0014	0	0	0	0	0	0	0	0	0.003	0.0041	0	0	0	0	0.0028	0	0
CDK11A	5e-04	3e-04	5e-04	0.0967	0	0.0795	1e-04	0.09	0.0494	0.0085	0.0082	0.0922	0.0233	0.0481	0.0071	0.0055	0.0089	0.0459	0.06	0.0025	0.0939	0.0095	0.007	0.0048	0.0171
NADK	4e-04	3e-04	0	4e-04	6e-04	2e-04	3e-04	2e-04	0	0.0966	8e-04	0	0	0	0.016	0.1065	0	0.0113	0	0	0	0	0	0	0.4805
GNB1	0.4967	0.6948	0.3041	0.8082	0.4472	0.6343	0.3818	0.8025	0.7624	1.0765	0.4188	0.7174	0.8113	0.8419	1.009	0.6168	0.3086	1.0415	0.7578	0.5068	0.7134	1.2317	0.2985	0.3685	1.1366
PRKCZ	0	0	0	0	0	0	0	0	0	0	4e-04	0	0	0	0	0	0.003	0.0012	0	0	0	0.0254	0	0	0.0073
FAAP20	0.0438	0.0044	0.033	0.0893	0.1047	0.0321	0.189	0.075	0.0929	0.0962	0.0113	0.0526	0.0268	0.228	0.0687	0.0167	0.0564	0.5823	0.1823	0.1122	0.168	0.1302	0.1116	0.0214	0.4683
SKI	0.0712	0.1368	0.0297	0.2041	0.0395	0.1146	0.0298	0.1499	0.1137	0.1102	0.1721	0.2512	0.0199	0.0447	0.335	0.03	0.0267	0.0529	0.1223	0.0547	0.055	0.1714	0	0.0109	0.0756
MORN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RER1	0.5763	0.6528	0.211	0.2771	0.4559	0.2002	0.4821	0.3505	0.3585	0.4405	0.1224	0.17	0.5899	0.2586	0.3395	0.1284	0.2077	1.0901	0.3885	0.4733	0.349	0.419	1.1492	0.246	0.7488
PEX10	1e-04	0	0	0	0	0	0	0	0	0	0.0012	0	0	0	0	0	0.003	0.0464	0	0	0	0	0	0	0
PLCH2	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PANK4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF14	7e-04	0	1e-04	0.1368	0	0.2221	0	0.2163	0.1862	0.1844	0.0074	0.2643	0.5516	0.4785	0.0706	0.0066	0.0297	0.0247	0.0432	0	0.6374	0.2984	0.3082	0.0601	0.0366
PRXL2B	0	0	0	0	0	0	0	0	0	1e-04	0.0012	0	0	0	0	0	0.003	0.0029	0	0	0	0.0063	0	0	0
MMEL1	0	0	0	0	0	0	0	0	0	0	0.0012	0	0	0	0	0	0.003	0.0014	0	0	0	0	0	0	0
MEGF6	0.1113	0.008	0	0	0.0156	0	2e-04	0	0	0	4e-04	0	0	0	0	0	0	0	0	0.0145	0	0.1079	0	0	0
TPRG1L	2e-04	0.001	0	0	0	0	0	0	0	1e-04	4e-04	0	0	0	0.0051	0	0.003	0.0038	0	0	0	0.0127	0.0028	0	0
WRAP73	1e-04	0	0	0	0	0	0	0	0	8e-04	0	0	0	0	0	0	0	0.017	0	0	0	0	0	0	0
SMIM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0069	0.2062	0	0	0	0.0056	0	0
LRRC47	0	0	1e-04	0	0	0	0	0	0	4e-04	0	0	0	0	0.0013	0	0	0.0314	0	0	0	0	0.0028	0	0
CEP104	0	0	0	0	0	0	0	0	0	3e-04	0	0	0	0	6e-04	0	0	0.0043	0	0	0	0	0	0	0
DFFB	0	0	0	0	0	0	0	3e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf174	0	0	1e-04	7e-04	0	0	0	0.0103	0	1e-04	0	0	5e-04	4e-04	0.0026	0	0	0.0182	0	0	0	0	0	0	0
AJAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0192	0	0	0	0	0	0	0
NPHP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4e-04	0	0	0	0	0
KCNAB2	0	0	0	0.0298	0	0.0099	0	0.1423	0.033	0.2121	0	0.0012	0.0129	9e-04	0.0019	0.0022	0.003	0.0021	0.012	0	0.0031	0.0032	0	0.0048	0.3683
RNF207	0	0	2e-04	0	0	0	0	0	0	0	0.0019	0	0	0	0	0	0	0.0214	0	0	0	0	0	0	0
ICMT	3e-04	8e-04	0	0	2e-04	0	0	2e-04	0	0.0016	4e-04	0	0	0	6e-04	0	0.003	0.0329	0	0.0041	0	0	0.0014	0.0012	0
GPR153	0	0	0	0	0	0	0	0	0	1e-04	0	0	0	0	0	0	0	0	0	4e-04	0	0	0	0	0.0024
ACOT7	0	0	0	0	0	0	0	7e-04	0	0.0687	8e-04	0	0	0	0	0	0.003	0.0502	0.1319	0	0	0	0	0.0028	0
TNFRSF25	0	0	1e-04	0.0052	0	0.1174	0	0.0112	0.064	0.005	4e-04	0.2302	0.3287	0	0	0	0.0089	0.0063	0.0024	0	0.0439	0	0	0.0613	0
PLEKHG5	0	0	0	0	0	0	0	0	0	0.0189	8e-04	0	0	0	0.0026	0	0.003	0	0	0	0	0	0	0	0
NOL9	0	5e-04	0	0	0	2e-04	0	2e-04	0	0	0	0	0	0.0021	0.0058	0	0	0.0046	0	0	0	0	0	0	0
ZBTB48	0	0	0	0	0	0	0	0	0	1e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLHL21	0.1138	0.0598	0.0162	0.0014	0.0073	0.0013	1e-04	0.0016	0.0024	0.0488	0.021	9e-04	5e-04	0	0.2125	0.0027	0	0.0122	0.0024	0.0567	0	0.0286	0.0112	0	0.1098
PHF13	0.0175	0.0036	0.0033	0	0.0012	4e-04	0	0	0	9e-04	0.0155	0	5e-04	0	0.0019	0	0	0.0074	0	0.007	0	0.0127	0	0	0
THAP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	0	0
DNAJC11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9e-04	0	0	0	0	0	0	0
CAMTA1	0.0845	0.1707	0.2023	0.0616	0.4233	0.054	0.3928	0.0467	0.072	0.1377	0.1181	0.0668	0.0362	0.1811	0.9037	0.0158	0.0831	0.8928	0.3765	0.1946	0.0451	0.5397	0.1785	0.0363	0.2244
VAMP3	0.0074	0.1212	0.0021	0	0.0156	2e-04	0.0055	0.0016	0	0.2415	8e-04	0	0	0	0.5186	0.0068	0.0356	0.0183	0.0528	0.0058	0	0.5143	0	0	0
PER3	0.1424	0.0342	0.0013	0	0.0023	0	0.0035	0	0	0.0308	0.0047	0	0	0	0.0655	3e-04	0.0089	0.0029	0	0.0195	0	0.0349	0	0	0
TNFRSF9	1e-04	0	3e-04	0.0718	0	0.0246	1e-04	0.0493	0.0025	0	0	0.0077	1.2085	0.0013	0	0.0014	0.0059	0.0086	0.3094	0	0.0012	0	0	0.6044	0.0122
PARK7	1.5571	1.8277	1.4298	1.6529	1.8205	1.0836	1.9089	1.6483	1.5944	1.019	0.951	1.3534	2.7021	1.4095	1.2651	0.6452	1.1632	2.2782	1.5276	1.354	1.8499	2.0984	1.5844	2.1794	4.7878
ERRFI1	1.2084	1.3194	1.8111	0.2026	1.9307	0.3038	1.0921	0.2159	0.3379	0.0375	2.0194	0.1444	0.0243	0.1236	0.371	0.2587	0.5727	0.2128	0.3501	1.2083	0.2372	0.4603	0	0.0036	0
SLC45A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RERE	0.0591	0.2269	0.0049	0.0312	0.0295	0.0896	0.0191	0.0701	0.0215	0.1009	0.1554	0.0251	0.0258	0.6894	0.5096	0.0057	0.0445	0.4088	0.2302	0.1101	0.0395	0.3524	0.0167	0.0036	0.2707
ENO1	0.8393	0.9909	1.3914	1.3755	1.7732	1.1095	1.478	1.4015	1.5645	2.2318	1.0012	1.3617	2.3893	1.1649	1.2195	0.7217	1.1306	3.8378	1.2806	1.5068	1.3904	1.0667	0.6904	1.7585	0.9829
GPR157	2e-04	0	1e-04	0	0	4e-04	0	5e-04	0	0.1252	8e-04	3e-04	5e-04	0.0124	0.0019	0.0011	0	0.0031	0	0	0	0.0032	0.0028	4e-04	0.2902
H6PD	0.164	0.0311	0.7377	0.0238	0.8797	0.0738	0.818	0.026	0.0424	0.0228	0.8652	0.0131	0.0065	0.0222	0.1585	0.0208	0.2552	0.0062	0.0216	0.1855	0.0229	0.1492	0.007	0	0
SPSB1	0.6138	0.8687	0.1243	0.0046	0.1488	0.0022	0.0063	0.0043	0.0128	0	0.1325	0.0025	0	9e-04	0.2368	0.0076	0.0772	0.0267	0.1031	0.2725	0.0019	0.2476	0	0	0
SLC25A33	0.0442	0.0288	0.0253	0.0052	0.0116	0.0018	5e-04	0.0026	0.0016	0.0177	0.0218	0.0019	5e-04	0.0426	0.0571	3e-04	0.0059	0.1994	0.012	0.0161	0	0.0095	0	0	0.0024
TMEM201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIK3CD	0	0	0	0	9e-04	2e-04	0	7e-04	0	0.0013	4e-04	0	0	0	0	0.0052	0	2e-04	0	0	0	0	0	0	0.0073
CLSTN1	0.1305	0.1339	0.052	0.0155	0.1675	0.0287	0.169	0.0269	0.0195	0.0061	0.1414	0.0112	0.005	0.0034	0.0449	5e-04	0.0356	0.2001	0	0.0642	0.0043	0.073	0.0056	0.004	0.0024
CTNNBIP1	0	0	0.0014	1e-04	0	4e-04	2e-04	7e-04	0	0.0331	0.0043	1e-04	5e-04	4e-04	0.0199	5e-04	0.0119	0.3527	0.0024	0.0012	0	0.0159	0.0167	0.0036	0
LZIC	0.0051	0.0241	0.0013	8e-04	0	2e-04	2e-04	0.0012	0	0.0023	0.0039	1e-04	0.001	0	0.0083	5e-04	0.0089	0.2373	0.0024	0.0037	0	0.0381	0.0028	0.004	0.0024
NMNAT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBP7	3e-04	0	6e-04	1e-04	0.0017	9e-04	0.005	0	3e-04	0.2346	4e-04	0	0	0	0.8813	0.1879	0	0.0091	0	0.0079	0	0.3206	0	0	0
UBE4B	0	0	0	0	0	0	0	0	0	4e-04	0	0	0	0	0	0	0.003	0.0166	0	0	0	0.0095	0	0	0
KIF1B	0.0801	0.3749	0.1528	0.0374	0.1737	0.0557	0.0293	0.0191	0.035	0.5451	0.2782	0.0226	0.0228	0.0111	0.1162	0.3092	0.0267	0.2308	0.0144	0.27	0.0031	0.1397	0.0098	0	0.2244
PGD	8e-04	0.0407	0	5e-04	0	0.0015	0	7e-04	0	0.4211	8e-04	0	0	9e-04	0	0.3887	0.0059	0.0798	0.0096	8e-04	0	0	0.0014	0	0.439
CENPS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0199	0	0	0	0	0	4e-04	0
CORT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DFFA	0	0	1e-04	0	3e-04	0	0	2e-04	0	5e-04	8e-04	0	5e-04	4e-04	0.0128	0	0.003	0.153	0.0096	0	0	0.0032	0	0	0.8244
PEX14	0	0	0	0	0	0	0	0.0012	0	0	0	0	5e-04	0	0	0	0	0	0	0	0	0	0	0	0
CASZ1	0	0	0	0	2e-04	0	0	9e-04	0	7e-04	0	0	0	0	0.0109	0	0.003	0.0164	0	4e-04	0	0	0	0	0
TARDBP	0.0031	5e-04	0.0072	0.0574	0.0164	0.0658	0.0028	0.0464	0.043	0.0324	0.0769	0.0265	0.0303	0.2322	0.1053	5e-04	0.0178	0.3288	0.0312	0.029	0.0766	0.0857	0.0279	0.0198	0.2268
SRM	0.2033	0.1699	0.2292	0.0706	0.3625	0.0305	0.3726	0.0608	0.0803	0.0606	0.0431	0.0433	0.0437	0.1376	0.1784	0.0079	0.0623	0.5395	0.1343	0.2663	0.0667	0.181	1.3529	0.0238	0.3146
EXOSC10	0	0	0	0	0	0	0	9e-04	0	8e-04	0	0	0	4e-04	6e-04	0	0	0.0026	0	0	0	0.019	0	0	0
MTOR	0	0	0	0	2e-04	0	0	3e-04	0	0	0	0	0	0	6e-04	0	0	0.0014	0	0	0	0	0	0	0
ANGPTL7	0	0	0.4731	0.0056	0.6459	0.0281	0.8527	0.0121	0.0078	0	0.5921	0.0086	0.0035	0	0	0.0205	0.2433	0.0036	0.0312	0.0588	0.0173	0	0	0	0
UBIAD1	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	4e-04	0.0019	0	0	0	0	4e-04	0	0	0	0	0
FBXO2	0	0	0.0838	0.001	0.3801	0.0018	0.2855	3e-04	0.0029	0	0.1045	3e-04	0	0	0	0	0.0504	0.032	0.0024	0	0	0	0.0014	0	0
FBXO44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXO6	0	0	0	3e-04	0	0	0	0	0	0.0034	0.0051	0	0	0	0.0013	0	0.003	0.0038	0	4e-04	0	0	0	0	0.0024
MAD2L2	7e-04	0	7e-04	3e-04	0	0	1e-04	0.0067	0	8e-04	8e-04	1e-04	0.001	9e-04	0.0039	3e-04	0.003	0.1376	0.0024	0.0012	0	0	0.0014	0.031	0.1878
DRAXIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGTRAP	0.0146	0.1067	0.0016	0.0248	0.0743	0.0123	0.0461	0.1894	0.0025	0.2831	0.0109	3e-04	0.003	0	0.0051	0.0899	0.0089	0.1936	0.0216	0.0261	0	0.1111	0.0028	0.0012	0.0024
C1orf167	0	0	0	0	0	0	0	0	0	0	0.0031	0	0	0	0	0	0.003	0.0041	0	0	0	0	0	0	0
MTHFR	5e-04	0.0187	0	0	5e-04	4e-04	4e-04	0	0	0.0784	0.0054	0	5e-04	0	0.0039	0.0025	0	0.0101	0	4e-04	0	0.0222	0	0	0.0073
CLCN6	0	0	0	0	0	0	0	0	0	0.0026	0	0	0	0	6e-04	0	0	0	0	0	0	0	0	0	0
KIAA2013	9e-04	0.0021	6e-04	0	0	0	1e-04	0.001	0	0.013	0.0016	0	0	4e-04	0.0039	0	0.0059	0.1948	0	0	0	0.0603	0.0112	0	0.1049
PLOD1	6e-04	3e-04	0	0	9e-04	0	0	0	0	0.0096	0	0	0	0	0.0096	0	0.003	0.0584	0	0.0874	0	0	0.0014	0	0
MFN2	0	0	0	0	0	0	0	0	0	0.0028	4e-04	0	0	0	0	0.0074	0	0.001	0	0	0	0	0	0	0
MIIP	0	0	0	1e-04	0	0	0	5e-04	0	0.0024	8e-04	0	0	0	0	3e-04	0.003	0.0029	0.2326	4e-04	0	0	0	0	0.0732
TNFRSF8	0	0	0	0	0.0017	0	0	0	0	1e-04	0	0	0.001	0	6e-04	0	0	2e-04	0.0024	4e-04	0	0	0	0	0
TNFRSF1B	0	0	0.0038	1.1033	0	0.4561	0	1.0941	0.8513	1.5754	0.0019	0.7354	1.6862	0.1035	0.197	1.0188	0.1513	0	0.1031	0	0.3224	0.019	0	0.9456	1.7122
VPS13D	0.0667	0.0104	0	6e-04	5e-04	0.0037	2e-04	3e-04	0.0034	0.0028	0.0027	0	0	0	0.0148	0	0	0.0015	0.0024	0.0137	0.0012	0	0	0	0.0146
DHRS3	0.8244	0.2127	0.0051	0.0392	0.0242	0.022	0.0157	0.1353	0.0877	0.0633	0.0078	0.0089	0.0025	4e-04	0.1528	0.0022	0.0208	0.0224	0.0192	0.1466	6e-04	0.0571	0	0	0
LRRC38	0	8e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDPN	0.3571	0.6497	1.0756	0.0349	1.2476	0.0748	1.092	0.0472	0.0636	0	1.019	0.0523	0.0094	0.0192	0.0173	0.0806	0.4273	0.029	0.1391	0.7491	0.0346	0.9429	0.0028	0	0
PRDM2	0.3946	0.3295	0.1237	0.7052	0.0698	0.5966	0.0456	0.6219	0.6636	0.1784	0.4468	0.6428	1.1787	1.6873	0.19	0.1076	0.2018	0.1934	0.2206	0.2617	0.7758	0.4952	0.3236	0.3266	0.3878
KAZN	0.0226	0.0067	4e-04	0	5e-04	0	1e-04	0	0	0	8e-04	0	0	0	0.0128	0	0.003	0.1074	0	0.0054	0	0	0	0	0
TMEM51	0	0	0	0	0.0011	2e-04	0	0	0	0.0185	0.0012	0	0	0	0	5e-04	0.003	0.0024	0	0.0012	0	0.0032	0	0	0
EFHD2	0.0255	0.0528	0.0139	0.7372	0.0153	0.3176	0.0018	1.6795	0.3765	1.5254	0.0357	0.3986	0.8565	0.1487	0.5282	0.9771	0.1513	0.2503	0.8609	0.1408	0.0519	0.1524	0.0976	0.7601	0.3341
CASP9	2e-04	0	0	0	0	0	0	0	0	0.0161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0098
DNAJC16	1e-04	0	0	0	0	0	0	0	0	0	0	0	0	0.0026	0	0	0	0	0	0	0	0	0	0	0
DDI2	2e-04	0	0	0	0	2e-04	0	0	0	3e-04	4e-04	0	5e-04	0	0	0	0	0.0046	0	4e-04	0	0	0	0	0
PLEKHM2	0.0162	0.0759	4e-04	0	5e-04	0	0	0	0	0.0831	0.0027	0	0	0.0021	0.0032	0	0.003	0.0036	0	0.0054	0	0.0127	0	0	0.0122
SLC25A34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBLIM1	0.001	0	0	0	0.0029	0	0	0	0	0	0.0012	0	0	0	0.0841	0	0	0.0444	0	0.0857	0	0.0413	0	0	0
UQCRHL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPEN	0.0961	0.0573	0.6563	0.3343	0.4768	0.3095	0.2427	0.3596	0.3119	0.2743	0.7486	0.2078	0.209	0.5381	0.4352	0.1338	0.1721	0.2736	0.1511	0.3031	0.2199	0.3714	0.0739	0.1948	0.5244
ZBTB17	0	0	0	0	0	0	0	0	0	0	0	0	5e-04	0	0	0	0	0	0	0	0	0	0	0	0
HSPB7	1e-04	0	3e-04	0	0.0071	0	1e-04	0	0	0.0038	4e-04	0	0	0	0.0019	0	0	7e-04	0	0.0178	0	0	0	0	0
EPHA2	6e-04	0	0.0718	0	0.0929	0	0.0208	0	0	4e-04	0.0932	0	0	0	0.0469	3e-04	0.0119	0.2052	0	0.0029	0	0.1714	0	0	0
ARHGEF19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e-04	0	0	0	0	0	0	0
CPLANE2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXO42	0.0036	3e-04	2e-04	0	0	0	0	2e-04	0	1e-04	4e-04	0	0	0	0	0	0	3e-04	0	0.0025	0	0	0	0	0
SZRD1	0.0025	0.0021	0.0272	0.0108	0.0195	0.0028	0.0386	0.0517	0.0112	0.027	0.0113	0.0015	0.0353	0.0345	0.0507	5e-04	0.0297	0.0906	0.0408	0.0153	0.0068	0.0921	0.0014	0.0028	0.0122
NECAP2	0.001	0.007	4e-04	0.0128	2e-04	0.0266	4e-04	0.0234	0.0465	0.1261	8e-04	0.0265	0.2483	0.0827	0.0385	3e-04	0.0059	0.0387	0.0072	0.0033	0.1365	0.2063	0.0014	0.0065	0.022
NBPF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CROCC	1e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013	0	0	0.0021	0	0	0	0	0	0	0
MFAP2	0.0484	0.5456	8e-04	0	0.0284	0	3e-04	0	0	0	0.0058	0	0	0	0.0013	3e-04	0.003	0.1144	0	0.4559	0	0.1048	0.0056	0	0
ATP13A2	1e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5e-04	0	0	0	0	0	0	0.5707
SDHB	0.0433	0.0313	0.02	0.0199	0.1152	0.018	0.181	0.0315	0.0237	0.2009	0.0082	0.0109	0.0233	0.0477	0.052	0.0055	0.0297	0.5453	0.0815	0.0398	0.0117	0.146	0.0893	0.0073	0.039
PADI4	0	0	0	0	0	0	0	0	0	0.0545	0	0	0	0	0	0.2453	0	0	0	0	0	0	0	0	0
RCC2	0	0	2e-04	1e-04	3e-04	0.0026	0	0.0088	0	0.2565	0.0051	0	0.003	0.0234	0.0109	0	0.0059	0.2488	0.024	0.0037	0	0.0508	0.0042	0.006	0.1049
ARHGEF10L	0	0	0	0	0	0	0	0	0	0.0581	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0
ALDH4A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6e-04	0	0	0	0	0	0	0	0	0	0
IFFO2	0	0	0	0.0013	0	2e-04	0	0.0162	7e-04	8e-04	0	0	0.001	0	0.0019	0	0	2e-04	0.0168	0	0	0	0	0	0
